code;asdad
SR8072DRTA08067;1,00
SR8468HGCA08096;0,00
SR8549498014;0,00
SR8550TA28067;0,00
FZKBG01;1,00
SRBT01A00005;1,00
SRBT01A00010;0,00
SRBT01A20002;0,00
SRBT02A00022;0,00
SRBT02A00023;0,00
SRBT02A00033;0,00
SRFZHP0463;0,00
0699801;15,00
10R0300;1,00
10R1100D;1,00
10R1400D;1,00
1300922;1,00
1309809;1,00
1C69802;3,00
41R9807;-1,00
42U9801;5,00
42U9802;9,00
4A00300;14,00
4A90300;5,00
4A90310;5,00
4AF0500;5,00
53N9812;1,00
56398100;4,00
67B9101;1,00
6AM9808;2,00
7AP9811;0,00
8009820;2,00
8009830;0,00
82A9901;2,00
8399801;0,00
8AA9801;3,00
8AA9803;1,00
8B21400;5,00
8B29801;5,00
8B29809;1,00
8B59804;8,00
8CL9802;0,00
8FA9814;4,00
8SY9802;0,00
ABBUN25B10X;2,00
ABBUN25I10X;1,00
ABBUN26B10X;0,00
ABBUN26B17X;-1,00
ABBUN26EB13X;-1,00
ABBUN54B13;0,00
ACNUG51C114;0,00
ACSHG30I7128MR;1,00
AFCM191C244C;0,00
AFCM191C888C2;0,00
AFHM525AZL;0,00
AHBM525AL;1,00
AM4861LFURX080;0,00
AMFHG377328;0,00
AMFTZ066428;0,00
AMFZH377334L;9,00
ARDC050B;0,00
ARDM310DL;-1,00
ARDTX51B;0,00
ASL7S20170LS;2,00
ASLRS31LSB;0,00
ASLRS31R7A;6,00
ASLRS35LSBP;0,00
ASLRS35R6AP;0,00
ASLRS41R7A;0,00
ASLRS43R6A;0,00
ASLRS43R7A;6,00
ASLTX30LFB;0,00
ASLTX30R6A;0,00
ASMRT62;6,00
ASTEF20R;0,00
ASTEF352LSBSN;1,00
ASTEF352R8ASN;0,00
ASTEF602LSBL;0,00
ASTEF602R7AS;2,00
ASTM410LBS;1,00
ASTM410RAS;1,00
CW0U101300S;0,00
CW0U101300XL;3,00
CW0U101300XXL;0,00
CW0U101300XXXL;3,00
CW0U102101L;1,00
CW0U102101M;0,00
CW0U102101XL;1,00
CW0U102101XXL;1,00
CW0U106305XL;0,00
CW0U110100L;1,00
CW0U110400L;2,00
CW0U231200L;1,00
CW0U231200M;0,00
CW0U233200L;1,00
CW0U233200M;1,00
CW0U233300L;0,00
CW0U233300M;1,00
CW0U233300XL;1,00
CW0U237200XL;1,00
CW0U237300L;0,00
CW0U237300XL;0,00
CW0W102300M;1,00
CW3L101400XL;1,00
CW3U108201S;0,00
CW3U108201XL;1,00
CW3U109105M;2,00
CW3U110100XXL;1,00
CW3U110300XL;0,00
CW3U207205M;1,00
CW3U233200S;1,00
CW4U101200M;2,00
CW4U101300M;1,00
CW4U102100XL;1,00
CW4U102500XL;3,00
CW4U102600L;1,00
CW4W301118M;1,00
CW4W301118S;1,00
CW5M301118L;1,00
CW5M301118XL;1,00
CW5M302118XL;0,00
CW5U101700L;0,00
CW5U101700M;0,00
CW5U103833XXL;1,00
CW5U103924XXL;1,00
CW5U106124XXL;0,00
CW5U108401XL;2,00
CW5U108402XL;3,00
CW5U108402S;2,00
CW5U109905;4,00
CW5U110605L;1,00
CW5U111100XL;0,00
CW5U231100L;0,00
CW5U231100M;1,00
CW5U231200M;0,00
CW5U231200S;0,00
CW5U233100M;0,00
CW5U233200L;0,00
CW5U233300M;1,00
CW5U235100M;2,00
CW6M203133M;0,00
CW6M301618XL;1,00
CW6M502105L;0,00
CW6M502105M;0,00
CW6M502105XL;0,00
CW6M511105ONE SIZE;0,00
CW6U106132L;0,00
CW6U106132XL;0,00
CW6U106134XL;0,00
CW6U106134XXXL;0,00
CW6U107505L;0,00
CW6U107505M;0,00
CW6U107505XL;1,00
CW6U107505XXL;0,00
CW6U202205XL;0,00
CW6U202205XXL;1,00
CW6U233200L;1,00
CW7K101100L;2,00
CW7K101100M;2,00
CW7K101100S;1,00
CW7K101100XL;0,00
CW7K102300L;0,00
CW7K102300M;1,00
CW7K103105M;1,00
CW7K103134M;1,00
CW7K104534L;1,00
CW7K104534M;1,00
CW7M201105L;1,00
CW7M201105XL;1,00
CW7M201205L;4,00
CW7M201205M;0,00
CW7M201205S;0,00
CW7M201205XL;6,00
CW7M203146XL;1,00
CW7M203257L;2,00
CW7M203258L;2,00
CW7M203352L;-1,00
CW7M203352XL;1,00
CW7M204246XL;2,00
CW7M204246XXL;0,00
CW7M204248L;2,00
CW7M204248XL;2,00
CW7M204248XXL;2,00
CW7M204254L;0,00
CW7M204254XXL;0,00
CW7U101300S;1,00
CW7U102300XL;1,00
CW7U102300XXL;4,00
CW7U102300XXXL;1,00
CW7U102900L;1,00
CW7U102900XL;1,00
CW7U102900XXL;4,00
CW7U102900XXXL;1,00
CW7U103305L;2,00
CW7U103305XL;3,00
CW7U103305XXL;2,00
CW7U103332L;2,00
CW7U103332XXL;0,00
CW7U103346L;1,00
CW7U103346XL;4,00
CW7U103434L;1,00
CW7U103434XL;1,00
CW7U103434XXL;0,00
CW7U103446L;0,00
CW7U103546L;2,00
CW7U103546XL;3,00
CW7U104305XL;0,00
CW7U104305XXL;1,00
CW7U104332XL;0,00
CW7U104332XXL;0,00
CW7U104332XXXL;1,00
CW7U104333XL;1,00
CW7U107305L;0,00
CW7U107305M;0,00
CW7U107334L;1,00
CW7U107334M;0,00
CW7U107334XL;2,00
CW7U107346L;0,00
CW7U107346M;3,00
CW7U107346XL;0,00
CW7U108232M;0,00
CW7U108232XL;1,00
CW7U108234L;0,00
CW7U108234M;0,00
CW7U108234XL;3,00
CW7U108246M;0,00
CW7U108305L;1,00
CW7U108305M;0,00
CW7U108405L;1,00
CW7U108405M;14,00
CW7U108405S;4,00
CW7U108405XL;12,00
CW7U110100L;1,00
CW7U110100XL;3,00
CW7U110200XL;1,00
CW7U110300L;0,00
CW7U110300XL;2,00
CW7U110400L;1,00
CW7U110400M;1,00
CW7U110400XL;1,00
CW7U110500M;0,00
CW7U110500XL;0,00
CW7U110605L;2,00
CW7U110700L;0,00
CW7U110700M;0,00
CW7U111000L;2,00
CW7U111000M;2,00
CW7U111100L;0,00
CW7U111100XL;0,00
CW7U111332;1,00
CW7U111446L;1,00
CW7U111546L;1,00
CW7U111600L;2,00
CW7U206960XL;0,00
CW7U233200S;0,00
CW7W102300L;0,00
CW7W102300S;0,00
CW7W103253L;0,00
CW8M201546L;1,00
CW8M201546XL;3,00
CW8M203546L;1,00
CW8M203546XXL;0,00
CW8U101901L;1,00
CW8U101901XL;0,00
CW8U102900XXL;0,00
CW8U106400XL;0,00
CW8U106400XXL;2,00
CW8U106400XXXL;0,00
CW8U106504L;0,00
CW8U106504XL;0,00
CW8U107405WL;0,00
CW8U107605L;0,00
CW8U107605XL;0,00
CW8U107605XXL;0,00
CW8U107700L;0,00
CW8U107700M;0,00
CW8U107700XL;2,00
CW8U107700XXL;1,00
CW8U109105WONE SIZE;2,00
CW8U110800XXL;0,00
CW8U110900L;0,00
CW8U110900XL;1,00
CW8U111000L;2,00
CW8U111100XL;2,00
CW8U111101L;1,00
CW8U111101XL;1,00
CW8U111200L;1,00
CW8U111200XL;2,00
CW8U207605L;1,00
CW8U207605M;0,00
CW8U207605XL;0,00
CW8U207632L;0,00
CW8U207632XL;0,00
CW8U207632XXL;0,00
CW8U207646L;2,00
CW8U207646M;2,00
CW8U207646XL;0,00
CW8U207646XXL;0,00
CW8U234300L;0,00
CW8U234300M;0,00
CW8U234300XXL;0,00
CW8U237301L;0,00
CW8U237301XL;0,00
CW8U237301XXL;0,00
CW9K103134XL;1,00
CW9K103172L;0,00
CW9K103172XL;2,00
CW9K103175L;1,00
CW9K103175M;1,00
CW9K103175XL;2,00
CW9K104578L;2,00
CW9K104578M;2,00
CW9K107105L;0,00
CW9K107105S;0,00
CW9K107172M;0,00
CW9M201405M;0,00
CW9M201405S;0,00
CW9M201405XL;2,00
CW9M202105M;0,00
CW9M204605XL;0,00
CW9M204605XXL;0,00
CW9M303405XL;1,00
CW9M604367XL;1,00
CW9U103434L;2,00
CW9U103434M;0,00
CW9U103434XL;0,00
CW9U103434XXL;3,00
CW9U103700L;1,00
CW9U103700XL;1,00
CW9U106165L;1,00
CW9U106165XL;0,00
CW9U106165XXL;0,00
CW9U106165XXXL;0,00
CW9U107005L;1,00
CW9U107005M;0,00
CW9U107005XL;3,00
CW9U107205L;1,00
CW9U107205M;1,00
CW9U107205S;0,00
CW9U107205XL;0,00
CW9U107234L;3,00
CW9U107234M;0,00
CW9U107246L;1,00
CW9U107246M;4,00
CW9U107246S;0,00
CW9U107272L;10,00
CW9U107372L;0,00
CW9U107372M;2,00
CW9U107372XL;0,00
CW9U107605XL;0,00
CW9U108405L;1,00
CW9U108405M;2,00
CW9U108405XL;1,00
CW9U109205ONE SIZE;0,00
CW9U109234ONE SIZE;3,00
CW9U207205L;0,00
CW9U207205XL;0,00
CW9U207305L;4,00
CW9U207305M;0,00
CW9U207305S;1,00
CW9U207305XL;0,00
CW9U207305XXL;0,00
CW9U207372L;10,00
CW9U207372M;4,00
CW9U207372XL;2,00
CW9U233300L;1,00
CW9U233300XL;1,00
CW9U234200L;1,00
CW9U234200M;0,00
CW9U234200XL;2,00
CW9U234300L;0,00
CW9U234300XL;1,00
CW9U234300XXL;0,00
CW9U238300L;0,00
CW9U238300M;3,00
CW9U238300XL;2,00
CW9U239300ONE SIZE;4,00
CW9U603405L;1,00
CW9U603432L;1,00
CW9U603432XL;1,00
CW9U604271L;1,00
CW9U604271M;1,00
CW9UBIBS72L;1,00
CW9UBIBS72M;0,00
CW9UBIBS72XL;0,00
CW9UBIBS72XXL;1,00
CW9USSJE72L;1,00
CW9USSJE72M;0,00
CW9USSJE72S;0,00
CW9USSJE72XL;0,00
CW9USSJE72XXL;0,00
CW9USSJE72XXXL;0,00
CW9W103234L;1,00
CW9W103234M;1,00
CW9W103234S;0,00
CW9W103272L;0,00
CW9W103272M;1,00
CW9W103272S;1,00
CW9W301158M;1,00
CW9W301158S;0,00
CW9W301205M;0,00
CW9W301205S;0,00
CW9W303258S;1,00
CW9W303658M;1,00
CW9W303658S;1,00
CWACC2SC01L;1,00
CWACC2SC01M;1,00
CWADV1SK17S;1,00
CWADV2PA17L;0,00
CWADV2PA22M;0,00
CWORI2JS11;1,00
CWORI2WB11L;0,00
CWPER2JSF1;1,00
EBBES25C26;0,00
EBBUN25B13X;0,00
EBBUN54B27;0,00
EBLM421PAS;0,00
EBLM445LL;0,00
EBLM445LW;0,00
EBLM445RL;0,00
EBLM445RW;0,00
EBLM505LW;1,00
EBLR770PA;0,00
EBR3300AF73;1,00
EBR3400AF76A;2,00
EBR3400AR76A;2,00
EBRM416FURL;0,00
EBRM422FX43SLP;31,00
EBRM422RX43SLP;28,00
EBRM445FPRS;0,00
EBRM486FPRW;0,00
EBRM545FUM6SC;1,00
EBRM545RUM6SC;1,00
EBRM575FPR;1,00
ECSHG308132P;12,00
ECWR301RCONE SIZE;4,00
ECWR302WLSWL;0,00
ECWR302WLSWM;0,00
ECWR302WLSWXL;1,00
ECWR302WRCLONE SIZE;1,00
ECWR302WSCZLL;1,00
ECWR303WBPWL;0,00
ECWR303WBPWXXL;0,00
EFCM151C244C;0,00
EFCM191C244X3;-1,00
EFCM4308E422CAS;1,00
EFCM590E422XL;0,00
EFCR600CX04;0,00
EFDM191X6;0,00
